일자,지역,PM2.5,PM10
2024-01-01,강남구,22.0,27.0
2024-01-01,강동구,16.5,23.0
2024-01-01,강북구,16.0,20.0
2024-01-01,강서구,21.0,27.5
2024-01-01,관악구,25.0,34.0
2024-01-01,광진구,13.0,20.0
2024-01-01,구로구,25.0,31.0
2024-01-01,금천구,22.0,29.0
2024-01-01,노원구,17.5,23.5
2024-01-01,도봉구,16.0,19.0
2024-01-01,동대문구,17.0,23.0
2024-01-01,동작구,21.0,28.5
2024-01-01,마포구,23.0,25.5
2024-01-01,서대문구,19.0,23.0
2024-01-01,서초구,22.5,28.0
2024-01-01,성동구,21.0,26.5
2024-01-01,성북구,18.0,22.0
2024-01-01,송파구,18.0,22.0
2024-01-01,양천구,25.0,30.0
2024-01-01,영등포구,22.0,26.0
2024-01-01,용산구,20.0,26.0
2024-01-01,은평구,17.0,23.0
2024-01-01,종로구,18.0,23.0
2024-01-01,중구,20.0,22.0
2024-01-01,중랑구,16.0,22.0
2024-01-02,강남구,31.0,43.0
2024-01-02,강동구,29.0,40.0
2024-01-02,강북구,25.0,34.0
2024-01-02,강서구,27.5,42.0
2024-01-02,관악구,28.0,44.0
2024-01-02,광진구,26.0,37.0
2024-01-02,구로구,29.0,44.0
2024-01-02,금천구,31.0,44.0
2024-01-02,노원구,27.5,38.5
2024-01-02,도봉구,25.0,31.0
2024-01-02,동대문구,26.0,39.0
2024-01-02,동작구,30.5,43.5
2024-01-02,마포구,31.5,41.5
2024-01-02,서대문구,30.0,38.0
2024-01-02,서초구,31.5,44.0
2024-01-02,성동구,29.0,39.5
2024-01-02,성북구,28.5,39.0
2024-01-02,송파구,29.0,41.0
2024-01-02,양천구,33.0,43.0
2024-01-02,영등포구,29.5,39.0
2024-01-02,용산구,28.5,41.0
2024-01-02,은평구,28.0,39.0
2024-01-02,종로구,28.0,39.5
2024-01-02,중구,29.5,38.0
2024-01-02,중랑구,28.0,35.0
2024-01-03,강남구,33.0,45.5
2024-01-03,강동구,29.0,42.5
2024-01-03,강북구,26.0,36.0
2024-01-03,강서구,28.5,43.0
2024-01-03,관악구,30.0,49.0
2024-01-03,광진구,26.0,39.0
2024-01-03,구로구,33.0,49.0
2024-01-03,금천구,32.0,46.0
2024-01-03,노원구,28.5,42.5
2024-01-03,도봉구,28.0,36.0
2024-01-03,동대문구,27.0,41.0
2024-01-03,동작구,29.0,44.5
2024-01-03,마포구,31.5,42.5
2024-01-03,서대문구,30.0,39.0
2024-01-03,서초구,33.5,47.0
2024-01-03,성동구,31.0,43.0
2024-01-03,성북구,29.0,41.0
2024-01-03,송파구,29.0,41.0
2024-01-03,양천구,33.0,46.0
2024-01-03,영등포구,30.0,41.5
2024-01-03,용산구,29.5,42.5
2024-01-03,은평구,30.0,42.0
2024-01-03,종로구,27.5,41.5
2024-01-03,중구,28.5,40.5
2024-01-03,중랑구,28.0,36.0
2024-01-04,강남구,38.0,54.5
2024-01-04,강동구,38.0,57.0
2024-01-04,강북구,37.0,54.0
2024-01-04,강서구,31.5,49.5
2024-01-04,관악구,32.0,52.0
2024-01-04,광진구,33.0,51.0
2024-01-04,구로구,35.0,54.0
2024-01-04,금천구,33.5,50.0
2024-01-04,노원구,39.0,57.0
2024-01-04,도봉구,39.0,51.0
2024-01-04,동대문구,34.0,53.5
2024-01-04,동작구,33.0,50.0
2024-01-04,마포구,37.5,51.0
2024-01-04,서대문구,37.0,49.0
2024-01-04,서초구,36.0,52.0
2024-01-04,성동구,38.0,54.5
2024-01-04,성북구,40.0,56.0
