일자,PM2.5,PM10
2024-01-01,19.66,24.98
2024-01-02,28.78,39.9
2024-01-03,29.62,42.3
2024-01-04,35.78,52.18
2024-01-05,55.4,82.12
2024-01-06,13.16,25.16
2024-01-07,13.68,23.98
2024-01-08,13.28,24.02
2024-01-09,25.28,34.54
2024-01-10,55.14,68.9
2024-01-11,49.52,63.72
2024-01-12,33.8,54.2
2024-01-13,13.18,27.12
2024-01-14,23.14,33.06
2024-01-15,10.18,23.38
2024-01-16,17.94,33.04
2024-01-17,26.74,37.24
2024-01-18,20.04,26.08
2024-01-19,8.02,14.04
2024-01-20,2.28,5.5
2024-01-21,10.82,15.28
2024-01-22,19.8,31.44
2024-01-23,11.72,22.08
2024-01-24,11.18,23.76
2024-01-25,12.52,22.98
2024-01-26,22.88,35.14
2024-01-27,37.38,51.64
2024-01-28,21.3,31.4
2024-01-29,31.64,44.54
2024-01-30,41.24,59.04
2024-01-31,41.04,58.32
2024-02-01,60.7,81.92
2024-02-02,33.5,45.9
2024-02-03,25.68,35.98
2024-02-04,16.7,23.54
2024-02-05,3.42,6.66
2024-02-06,10.54,14.88
2024-02-07,26.0,32.92
2024-02-08,31.2,40.66
2024-02-09,25.24,34.58
2024-02-10,36.54,47.52
2024-02-11,49.96,63.38
2024-02-12,47.02,63.08
2024-02-13,42.86,68.32
2024-02-14,27.8,46.88
2024-02-15,15.3,22.46
2024-02-16,18.04,28.32
2024-02-17,31.26,44.6
2024-02-18,25.4,36.48
2024-02-19,8.72,15.16
2024-02-20,16.1,28.12
2024-02-21,2.04,4.56
2024-02-22,3.28,7.06
2024-02-23,4.74,9.8
2024-02-24,7.32,14.18
2024-02-25,10.9,15.48
2024-02-26,18.12,29.7
2024-02-27,9.38,19.84
2024-02-28,17.28,33.86
2024-03-01,11.12,37.42
2024-03-02,13.78,35.36
2024-03-03,63.44,113.2
2024-03-04,37.04,72.0
2024-03-05,22.08,45.38
2024-03-06,7.36,15.56
2024-03-07,17.66,30.94
2024-03-08,22.32,44.34
2024-03-09,17.62,33.7
2024-03-10,17.18,30.34
2024-03-11,18.8,35.04
2024-03-12,21.22,33.16
2024-03-13,26.64,45.6
2024-03-14,36.36,60.8
2024-03-15,31.48,50.26
2024-03-16,31.24,51.5
2024-03-17,19.34,93.52
2024-03-18,7.78,23.46
2024-03-19,26.32,52.04
2024-03-20,23.08,39.78
2024-03-21,20.52,36.22
2024-03-22,18.4,42.96
2024-03-23,24.66,57.2
2024-03-24,15.86,35.04
2024-03-25,7.54,18.46
2024-03-26,4.0,8.78
2024-03-27,15.44,26.28
2024-03-28,15.9,31.58
2024-03-29,43.26,229.2
2024-03-30,22.46,90.5
2024-03-31,11.56,42.7
2024-04-01,13.56,44.6
2024-04-02,22.86,53.28
2024-04-03,21.5,43.36
2024-04-04,14.94,33.02
2024-04-05,20.6,42.22
2024-04-06,38.84,65.02
2024-04-07,32.3,54.74
2024-04-08,28.32,56.6
2024-04-09,18.36,40.64
2024-04-10,17.8,43.0
2024-04-11,20.98,49.38
2024-04-12,23.5,47.98
2024-04-13,17.98,40.02
2024-04-14,22.12,44.42
2024-04-15,11.44,22.68
2024-04-16,28.54,84.78
2024-04-17,41.28,141.04
2024-04-18,27.28,113.34
2024-04-19,30.32,95.34
2024-04-20,26.08,59.36
2024-04-21,7.2,17.38
2024-04-22,15.86,31.14
2024-04-23,10.08,21.26
2024-04-24,5.6,12.88
2024-04-25,19.56,31.74
2024-04-26,26.54,66.38
2024-04-27,23.4,51.24
2024-04-28,20.8,38.62
2024-04-29,19.94,43.2
2024-04-30,33.56,59.22
2024-05-01,14.16,26.86
2024-05-02,18.78,36.06
2024-05-03,24.96,48.68
2024-05-04,33.1,56.4
2024-05-05,14.44,22.94
2024-05-06,7.5,11.9
2024-05-07,13.04,21.72
2024-05-08,9.18,21.34
2024-05-09,14.6,30.42
2024-05-10,14.48,30.34
2024-05-11,7.82,21.04
2024-05-12,15.4,68.2
2024-05-13,13.7,30.92
2024-05-14,13.68,28.82
2024-05-15,7.88,22.76
2024-05-16,7.58,18.6
2024-05-17,19.34,42.34
2024-05-18,11.28,27.58
2024-05-19,11.28,24.48
2024-05-20,16.16,31.38
2024-05-21,27.42,44.54
2024-05-22,35.48,53.64
2024-05-23,18.72,32.06
2024-05-24,24.4,37.06
2024-05-25,18.9,34.96
2024-05-26,13.08,24.48
2024-05-27,10.06,27.1
2024-05-28,7.08,17.34
2024-05-29,11.72,25.36
2024-05-30,14.82,28.68
2024-05-31,13.46,25.32
